Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Joel Embiid,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259
2,Nikola Jokic,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308
3,Giannis Antetokounmpo,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204
4,Jayson Tatum,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185
5,Shai Gilgeous-Alexander,35.5,31.4,4.8,5.5,1.6,1,0.51,0.345,0.905,11.4,0.226
6,Donovan Mitchell,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176
7,Domantas Sabonis,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221
8,Luka Doncic,36.2,32.4,8.6,8,1.4,0.5,0.496,0.342,0.742,10.2,0.204
9,Stephen Curry,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192
10,Jimmy Butler,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277
11,De'Aaron Fox,33.4,25,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146
12,Jalen Brunson,35,24,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175
12,Ja Morant,31.9,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.748,6,0.148
1,Nikola Jokic,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296
2,Joel Embiid,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12,0.252
3,Giannis Antetokounmpo,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281
4,Devin Booker,34.5,26.8,5,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156
5,Luka Doncic,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159
6,Jayson Tatum,35.9,26.9,8,4.4,1,0.6,0.453,0.353,0.853,9.6,0.169
7,Ja Morant,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171
8,Stephen Curry,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8,0.173
9,Chris Paul,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21
10,DeMar DeRozan,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154
10,Kevin Durant,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198
10,LeBron James,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172
1,Nikola Jokic,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
2,Joel Embiid,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266
3,Stephen Curry,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201
4,Giannis Antetokounmpo,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
5,Chris Paul,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
6,Luka Doncic,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163
7,Damian Lillard,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209
8,Julius Randle,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14
9,Derrick Rose,25.6,14.7,2.6,4.2,1,0.4,0.47,0.388,0.866,3.1,0.118
10,Rudy Gobert,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248
11,Russell Westbrook,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075
12,Ben Simmons,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6,0.153
13,James Harden,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7,0.208
13,LeBron James,33.4,25,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179
13,Kawhi Leonard,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238
1,Giannis Antetokounmpo,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279
2,LeBron James,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
3,James Harden,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254
4,Luka Doncic,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207
